week_past,is_holiday,age_price_wsum,Make,AccidentArea,Sex,MaritalStatus,Fault,VehicleCategory,RepNumber,Deductible,DriverRating,Days:Policy-Accident,Days:Policy-Claim,PastNumberOfClaims,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange-Claim,NumberOfCars,BasePolicy,FraudFound
1,1,9,14,2,2,1,1,1,6,400,1,5,3,1,5,2,2,1,1,1,1,3,1
2,0,12,7,2,2,2,2,1,2,400,2,5,3,2,5,2,2,1,4,1,1,3,1
4,0,8,10,2,2,2,1,1,3,400,1,5,3,1,6,2,2,1,4,1,1,3,1
0,0,6,3,2,2,2,1,2,13,400,2,5,3,1,7,2,2,1,1,5,2,2,1
2,0,10,10,2,2,2,1,1,8,400,3,5,3,1,8,2,2,1,2,1,1,3,1
0,0,9,14,2,2,1,2,1,5,400,3,5,3,0,5,2,2,1,3,1,1,3,1
0,0,14,10,2,2,2,1,2,12,400,3,5,3,3,6,1,2,1,1,1,1,1,1
2,0,10,14,2,2,2,1,1,16,400,4,5,3,3,8,2,2,1,1,1,1,3,1
14,0,8,7,2,2,2,1,2,1,400,2,5,3,3,4,2,2,1,4,1,1,2,1
1,0,7,1,2,2,2,1,2,1,400,3,5,3,2,6,2,2,1,2,1,1,1,1
11,0,1,7,2,2,1,1,2,9,400,1,5,3,0,1,2,2,1,1,1,1,1,0
1,0,5,10,2,1,2,1,2,12,400,3,5,3,0,6,2,2,1,1,1,1,2,1
0,0,11,4,2,2,2,1,2,2,400,1,5,3,2,7,2,2,2,1,1,1,2,1
1,0,5,7,2,2,1,1,2,6,400,1,5,3,1,1,2,2,1,1,1,1,2,1
0,0,5,3,2,2,1,1,2,2,400,3,5,3,3,6,2,2,1,3,1,1,2,1
0,0,4,7,2,2,1,2,2,2,400,4,5,3,0,5,2,2,1,2,1,1,2,1
0,0,1,6,2,2,2,1,3,12,400,1,5,3,2,6,2,2,1,1,1,1,1,1
0,0,9,3,2,2,1,2,1,5,400,3,5,3,2,5,2,2,1,4,1,1,3,1
1,0,8,7,2,2,2,2,2,11,400,4,5,3,0,5,2,2,1,4,1,1,2,1
1,0,4,10,2,2,1,1,2,4,400,2,5,3,0,5,2,2,1,4,1,1,2,1
0,1,14,7,2,2,2,1,1,12,400,1,5,3,0,7,2,2,1,1,1,1,2,1
46,0,5,18,2,2,2,1,2,1,400,3,5,3,0,5,2,2,1,2,1,1,2,1
1,0,6,3,2,1,2,1,2,11,400,1,5,3,2,5,2,2,1,4,1,1,2,1
1,0,7,14,2,2,2,1,2,15,400,1,5,3,2,6,2,2,1,3,1,3,1,1
0,1,6,18,2,1,1,1,1,12,400,4,5,3,0,6,2,2,1,1,5,2,3,1
1,0,9,7,2,2,2,1,2,5,400,2,5,3,2,6,2,2,1,2,1,1,2,1
1,0,6,18,2,2,2,2,2,16,400,1,5,3,0,9,2,2,1,1,1,1,2,1
0,0,5,14,2,1,2,2,2,8,400,3,5,3,2,5,2,2,1,1,1,1,1,1
1,0,6,14,2,2,1,2,2,9,400,4,5,3,0,5,2,2,2,1,1,1,2,1
0,0,5,10,2,2,2,1,1,13,400,3,5,3,2,6,2,2,1,4,1,1,3,1
3,0,12,3,2,1,2,1,1,10,400,1,5,3,2,6,2,2,1,3,1,1,3,1
0,0,10,14,2,2,2,1,2,9,400,4,5,3,3,8,2,2,1,3,1,1,2,1
0,0,5,14,2,2,2,1,1,14,400,2,5,3,3,7,2,2,1,1,1,1,3,1
0,0,8,14,2,2,2,1,1,4,500,3,5,3,2,5,2,2,1,3,4,1,3,1
25,0,4,7,1,2,2,1,1,4,400,4,5,3,0,4,2,2,1,3,1,1,2,0
2,0,6,7,2,2,2,1,2,13,400,1,5,3,0,7,2,2,1,3,1,1,2,0
0,0,4,14,2,2,1,1,2,8,400,1,5,3,1,6,2,2,1,2,1,1,2,1
0,0,8,10,2,2,2,2,2,7,400,4,5,3,0,7,2,2,1,3,1,1,1,1
1,0,8,7,2,2,1,1,2,5,400,4,5,3,2,5,2,2,1,1,1,1,1,1
0,0,7,1,2,2,1,1,2,11,400,3,5,3,2,6,2,2,1,1,1,1,2,1
3,0,1,7,1,2,1,1,1,15,400,4,5,3,0,1,2,2,1,1,1,1,3,1
1,0,4,3,2,1,1,1,2,4,400,4,5,3,0,5,2,2,1,2,1,1,2,1
2,0,8,18,2,2,1,1,2,5,400,4,5,3,0,5,2,2,1,1,1,1,1,1
32,0,4,14,2,2,2,1,3,6,400,4,5,3,0,7,2,2,1,1,1,1,2,1
44,0,1,7,2,2,1,2,2,3,400,2,5,3,2,1,2,2,1,1,1,1,1,1
0,0,9,18,2,2,2,1,1,13,400,3,5,3,2,5,2,2,1,4,5,2,3,1
1,0,9,14,2,2,1,1,2,1,400,1,5,3,0,7,2,2,1,1,1,1,2,1
49,0,9,10,2,2,1,1,2,6,400,3,5,3,0,5,2,2,1,1,1,1,1,1
0,0,7,12,2,2,1,2,2,16,400,2,5,3,1,6,2,2,1,4,1,1,2,1
1,0,5,10,2,2,2,1,1,12,400,1,5,3,2,8,2,2,1,4,1,1,3,1
0,0,6,18,2,2,2,1,2,5,400,1,5,3,1,8,2,2,1,1,1,1,2,1
0,0,5,7,2,2,2,1,1,12,400,2,5,3,2,7,2,2,1,4,1,1,3,1
0,0,9,7,2,2,1,1,2,16,400,1,5,3,2,6,2,2,1,3,1,1,2,1
0,0,4,10,2,2,2,1,2,9,400,3,5,3,1,5,2,2,1,2,1,1,2,1
33,0,7,3,2,1,1,2,2,5,400,3,4,3,1,5,2,2,1,1,1,1,2,1
0,0,6,7,2,2,2,2,2,7,400,2,5,3,1,7,2,2,1,4,1,1,2,1
1,0,13,10,2,2,2,2,2,12,400,3,5,3,3,8,2,2,1,4,1,1,2,1
3,0,6,6,2,2,2,2,2,9,400,4,5,3,3,5,2,2,1,1,1,1,2,1
42,0,4,3,2,2,2,2,2,1,400,3,5,3,0,5,2,2,1,1,1,1,1,1
1,0,2,7,2,1,2,2,1,12,400,3,5,3,0,7,2,2,1,1,1,1,2,1
1,0,5,8,1,1,1,1,1,16,400,1,5,3,2,5,2,2,1,3,1,1,3,1
1,0,7,18,2,1,2,2,2,10,400,1,5,3,2,5,2,2,1,4,1,1,2,1
0,0,6,14,2,2,2,1,1,13,400,4,5,3,2,6,2,2,1,1,1,1,3,1
1,0,9,10,2,2,1,2,1,6,400,2,5,3,1,6,2,2,1,1,1,1,3,1
34,0,7,3,2,2,2,2,2,13,400,4,5,3,0,6,2,2,1,1,1,3,1,1
43,0,6,18,2,1,2,1,1,9,400,4,5,3,0,6,2,2,1,2,1,1,3,1
47,0,7,7,2,2,1,1,1,6,400,2,5,3,3,1,2,2,1,1,5,2,3,1
40,0,0,3,1,2,2,1,3,4,400,4,5,3,1,5,2,2,1,4,1,1,3,1
0,0,8,18,2,2,1,1,2,14,400,3,5,3,1,5,2,2,1,4,1,1,2,1
0,0,6,10,2,2,1,2,2,1,400,2,5,3,2,6,2,2,1,4,1,1,1,1
0,0,7,14,2,2,2,2,2,13,400,4,5,3,0,9,2,2,1,3,1,1,1,1
0,0,4,7,2,2,1,1,1,8,400,2,5,3,2,4,2,2,1,1,1,1,3,1
0,0,0,7,2,1,1,2,1,2,400,1,5,3,0,4,2,2,1,4,1,1,2,1
0,0,5,14,2,2,1,1,1,13,400,2,5,3,3,6,2,2,1,3,3,1,3,1
2,0,7,7,2,2,2,1,2,16,400,1,5,3,2,6,2,2,1,1,1,1,1,1
1,0,9,14,2,2,2,1,2,13,700,3,5,3,2,6,2,2,1,4,1,1,2,1
42,0,13,7,2,2,1,1,1,7,400,3,5,3,0,5,2,2,1,3,1,1,2,0
0,0,5,7,2,2,2,2,2,15,400,4,5,3,0,8,2,2,1,4,1,1,2,1
44,0,7,18,2,2,2,1,2,7,400,2,5,3,1,6,2,2,1,1,1,1,2,0
1,0,7,18,2,2,1,1,2,4,400,4,5,3,1,6,2,2,1,1,1,1,1,1
42,0,5,14,2,2,2,2,2,12,400,4,5,3,2,6,2,2,1,1,1,1,1,1
1,0,7,14,2,2,2,1,2,10,400,1,5,3,1,6,2,2,1,1,1,1,1,1
44,0,1,3,2,2,2,1,3,2,400,1,5,3,3,5,2,2,1,4,1,1,1,0
0,0,8,14,2,1,2,2,2,10,400,4,5,3,1,5,2,2,1,1,1,1,1,1
1,0,0,6,2,1,2,1,2,14,500,2,5,3,2,6,1,2,1,3,1,1,1,1
1,0,8,10,2,2,2,1,2,14,400,3,5,3,0,7,2,2,1,4,1,1,1,1
0,0,5,14,2,2,1,2,2,12,400,4,5,3,2,5,2,2,1,2,1,1,1,1
0,0,7,4,2,2,2,1,1,5,400,1,5,3,0,5,2,2,1,2,5,2,3,1
0,0,5,10,2,2,2,1,2,11,400,2,5,3,2,5,2,2,1,1,1,1,2,1
33,0,7,14,2,2,2,2,2,11,400,1,5,3,0,6,2,2,1,1,1,1,1,1
21,0,10,3,2,2,2,1,2,1,400,1,5,3,1,7,2,2,1,1,1,1,1,1
0,0,8,7,2,2,2,1,1,16,400,4,5,3,0,6,2,2,1,1,1,1,3,1
16,0,5,18,2,2,1,1,2,4,400,2,5,3,2,4,2,2,1,1,1,1,2,1
0,0,4,14,2,2,1,1,2,6,400,3,5,3,2,5,2,2,1,1,1,1,1,1
5,0,4,7,2,2,2,2,2,9,400,1,5,3,0,5,2,2,1,1,1,1,1,1
45,0,14,1,1,2,2,1,3,10,400,2,5,3,0,8,2,2,1,1,1,1,1,0
50,0,6,3,2,2,2,2,2,2,400,3,5,3,1,7,2,2,1,4,1,1,2,1
47,0,10,7,2,2,1,2,1,2,400,1,5,3,2,2,2,2,1,3,1,1,2,1
0,0,7,14,2,2,2,2,2,12,400,2,5,3,1,5,2,1,1,4,1,1,2,1
3,0,8,14,2,2,1,1,1,4,400,3,5,3,2,5,2,2,1,3,1,1,3,1
0,0,3,10,2,2,1,1,2,9,400,3,5,3,2,9,2,2,1,1,1,1,1,0
2,0,1,7,1,2,1,1,2,7,400,3,5,3,0,1,2,2,1,1,1,1,1,0
6,0,5,7,1,2,1,1,2,8,400,3,5,3,0,1,2,2,1,1,1,1,1,1
1,0,8,7,1,1,2,2,1,12,400,4,5,3,0,3,2,2,1,2,1,1,2,1
0,0,0,14,2,2,1,1,2,2,400,1,5,3,3,5,2,2,1,2,1,1,2,1
0,0,10,7,2,2,2,1,2,1,400,4,5,3,3,7,2,2,1,1,1,3,2,1
0,0,9,18,2,2,1,2,2,6,400,3,5,3,0,4,2,2,1,3,1,1,1,1
0,0,9,14,2,1,2,1,1,16,400,4,5,3,2,5,2,2,1,4,1,1,3,1
5,0,5,4,2,2,2,1,2,15,400,2,5,3,0,7,1,2,1,1,5,2,2,1
1,0,7,10,2,2,2,1,1,13,400,3,5,3,2,6,2,2,1,4,1,1,3,1
0,0,3,3,1,2,2,2,1,9,400,3,5,3,3,5,2,1,1,1,1,1,3,1
0,0,9,7,2,2,1,1,2,14,400,3,5,3,2,5,2,2,1,3,1,1,2,1
0,0,5,14,2,2,1,1,2,10,400,1,5,3,3,5,2,2,1,4,1,1,2,1
0,0,5,7,2,2,1,2,2,14,400,3,5,3,0,3,2,2,1,4,1,1,2,1
1,0,6,14,2,2,2,2,2,6,400,4,5,3,2,8,2,2,1,2,1,1,2,1
0,0,2,6,2,2,2,1,2,12,400,3,5,3,0,7,2,2,1,4,1,1,2,1
1,0,4,7,2,2,1,1,2,16,400,4,5,3,1,5,2,2,1,2,1,1,2,1
0,0,5,14,2,2,2,1,2,6,400,2,5,3,1,5,2,2,1,4,1,1,2,1
2,0,9,18,2,2,2,2,2,9,400,4,5,3,1,6,2,2,1,4,1,1,2,1
1,0,7,18,2,2,2,1,2,9,400,4,5,3,0,5,2,2,1,4,1,1,1,1
50,0,7,12,2,2,2,1,2,2,400,2,5,3,3,6,2,2,1,1,1,1,1,1
39,0,6,18,2,2,2,1,2,9,400,2,5,3,0,5,2,2,1,2,1,1,1,1
0,0,14,7,2,2,2,1,1,11,400,4,5,3,1,7,2,2,1,3,1,1,2,1
2,0,6,14,2,2,2,1,2,3,400,4,5,3,1,5,2,2,1,3,1,1,1,1
0,0,8,3,2,2,2,1,1,10,400,4,5,3,0,7,2,2,2,3,1,4,3,1
0,0,8,18,2,2,2,1,2,8,400,2,5,3,2,8,2,2,1,1,1,1,2,1
1,0,5,18,1,2,1,2,1,1,400,4,5,3,2,4,2,2,1,3,1,1,3,1
0,0,4,10,2,2,2,1,2,6,400,1,5,3,0,6,2,2,1,1,1,1,1,1
0,0,3,10,2,2,1,2,1,10,400,1,5,3,0,5,2,2,1,1,1,1,3,1
28,0,5,18,1,2,2,1,2,1,400,3,5,3,0,6,2,2,1,4,2,2,1,0
0,0,3,1,2,2,1,1,2,13,400,1,5,3,0,5,2,2,1,1,1,1,2,1
0,0,6,10,2,2,4,1,2,15,400,4,5,3,0,7,2,2,1,1,1,1,2,1
0,0,7,14,2,1,2,2,2,8,400,1,5,3,2,5,2,2,1,4,1,1,2,1
0,0,2,14,2,2,1,1,1,8,400,4,5,3,3,4,2,2,1,3,1,1,3,1
0,0,10,14,2,2,1,2,1,10,400,3,5,3,1,5,2,2,1,2,1,1,3,1
2,0,9,7,2,2,2,2,2,2,500,3,5,3,2,7,2,2,1,4,4,1,1,1
0,0,6,7,2,1,1,2,1,8,400,3,5,3,2,5,2,2,1,1,1,1,3,1
0,0,6,1,2,2,2,1,1,6,400,2,5,3,3,5,2,2,1,3,1,1,3,1
0,0,8,10,2,2,2,1,2,13,400,1,5,3,3,6,2,2,1,1,1,1,2,1
4,0,13,3,2,2,2,1,2,13,400,2,5,3,1,7,2,2,1,4,1,1,1,1
0,0,6,7,2,2,1,1,1,11,400,4,5,3,2,5,2,2,1,3,1,1,3,1
0,0,6,7,2,2,2,1,1,5,400,3,5,3,2,7,2,2,1,1,1,1,3,1
47,0,12,3,2,2,2,1,2,12,400,3,5,3,0,5,2,2,1,1,1,1,1,0
0,0,1,7,2,2,1,1,1,3,400,1,5,3,2,1,2,2,1,1,1,1,3,1
0,0,1,3,2,1,1,2,1,5,400,3,5,3,1,6,2,2,1,2,1,1,3,1
0,0,7,18,2,2,2,2,2,3,400,3,5,3,0,6,2,2,1,1,1,1,1,1
2,0,1,18,2,1,2,2,2,14,400,1,5,3,3,5,2,2,1,2,1,3,2,1
0,0,6,18,2,2,2,1,1,4,400,1,5,3,2,8,2,2,1,3,1,1,3,1
0,1,10,7,2,2,2,2,2,8,400,2,5,3,1,8,2,2,1,1,1,1,1,1
0,1,8,18,2,1,1,1,2,12,400,4,5,3,0,5,2,2,1,2,1,1,2,1
7,0,8,13,1,2,2,1,3,6,400,4,5,3,2,6,2,2,1,1,5,2,1,1
1,0,6,7,2,2,2,1,1,7,400,1,5,3,2,8,2,2,1,4,1,1,3,1
1,0,5,14,2,2,1,1,2,2,400,3,5,3,0,5,2,2,1,4,1,1,1,1
2,0,7,10,2,2,1,1,1,7,400,2,5,3,2,5,2,2,1,4,1,1,3,1
2,0,10,19,2,2,2,1,2,2,400,4,5,3,0,6,2,2,1,1,1,1,2,1
0,0,3,18,2,2,1,1,1,2,400,4,5,3,2,5,2,2,1,2,1,1,3,1
1,0,5,7,2,1,1,1,2,14,400,1,5,3,1,5,2,2,1,2,1,1,1,1
1,0,4,3,2,2,1,1,2,1,400,2,5,3,0,5,2,2,1,1,1,1,1,1
0,0,8,16,2,2,2,1,2,1,400,2,5,3,2,6,2,2,1,3,1,1,1,1
0,0,8,7,2,1,1,1,1,16,400,3,5,3,3,5,2,2,1,4,1,1,3,1
0,0,8,3,2,2,2,1,2,5,400,1,5,3,1,7,2,2,1,2,1,1,1,1
0,0,8,12,1,2,2,2,2,12,400,3,5,3,1,7,2,2,1,1,1,1,1,1
0,0,8,6,2,2,2,1,2,8,400,4,5,3,2,9,2,2,1,2,1,1,1,1
6,0,5,14,2,2,2,1,2,3,400,2,5,3,1,7,2,2,1,1,1,1,2,1
0,0,8,10,2,2,1,2,2,3,400,4,5,3,0,5,2,2,1,1,3,1,1,1
44,0,6,18,2,2,2,2,2,7,400,1,5,3,3,7,2,2,1,4,1,1,1,1
0,0,9,3,2,1,1,2,2,2,400,2,5,3,0,7,2,2,1,3,1,1,1,1
0,0,6,14,2,2,2,1,2,10,400,4,5,3,0,7,2,2,1,4,1,1,1,1
1,0,1,7,2,2,1,2,1,8,400,4,5,3,2,1,2,2,1,1,1,1,3,1
50,0,7,14,2,2,2,2,1,10,400,4,5,3,1,7,2,2,1,1,1,1,3,1
0,0,10,3,2,2,2,1,1,14,400,1,5,3,3,6,2,2,1,4,1,1,3,1
48,0,5,10,2,2,2,1,2,10,400,2,5,3,2,6,2,2,1,1,5,2,1,0
51,0,11,10,2,2,2,1,2,1,400,4,5,3,0,6,2,2,1,3,1,1,2,1
0,0,10,18,2,2,2,1,2,6,400,2,5,3,2,7,2,2,1,3,1,1,1,1
48,0,6,3,2,2,2,1,3,14,400,2,5,3,0,5,2,2,1,2,1,1,1,0
1,0,6,18,2,1,2,1,2,1,400,3,5,3,0,6,2,2,1,1,1,1,1,1
49,0,8,7,2,2,2,1,1,13,400,3,5,3,0,6,2,2,1,1,1,1,2,0
1,0,5,3,2,2,2,2,2,4,400,3,5,3,1,7,2,2,1,4,1,1,2,1
37,0,7,7,2,2,2,2,2,14,400,3,5,3,2,6,2,2,1,1,1,1,2,1
5,0,7,10,2,2,2,2,2,1,400,3,5,3,2,6,2,2,1,4,1,1,2,1
1,0,8,14,2,1,2,1,2,4,400,4,5,3,2,7,2,2,1,4,1,1,1,1
49,0,7,14,2,2,2,2,2,16,400,4,5,3,0,5,2,2,1,2,1,1,1,1
50,0,8,10,2,2,2,2,2,10,400,4,5,3,0,6,2,2,1,1,1,1,2,1
50,0,6,10,2,2,1,1,2,2,400,4,5,3,1,5,2,2,1,1,1,1,2,1
49,0,7,7,1,2,1,1,2,14,400,3,5,3,2,1,2,2,1,1,1,1,2,1
0,0,7,7,1,2,2,1,1,6,400,4,5,3,0,6,2,2,1,1,1,1,3,1
47,0,7,14,2,2,2,2,2,16,500,3,1,3,2,6,2,2,1,1,4,1,1,0
2,0,10,14,2,2,2,1,2,15,400,3,5,3,1,8,2,2,1,1,1,3,2,1
48,0,10,14,2,2,2,1,2,11,400,4,5,3,2,5,2,2,1,2,1,1,2,0
1,0,5,10,2,2,1,1,2,5,400,4,5,3,2,4,2,2,1,3,1,1,2,1
1,0,5,18,2,2,1,2,2,5,400,2,5,3,1,4,2,2,1,1,1,1,2,1
39,0,6,14,1,2,2,2,2,16,400,2,5,3,0,5,2,2,1,1,1,1,1,1
0,0,6,14,2,2,1,1,2,3,400,1,5,3,0,6,2,2,1,4,5,2,2,1
1,0,4,7,1,1,2,2,2,1,400,1,5,3,0,6,2,2,1,3,1,1,1,1
0,0,7,1,2,2,2,1,2,11,400,4,5,3,3,6,2,2,1,2,1,1,2,1
1,0,5,14,2,2,2,1,2,16,400,4,5,3,0,6,2,2,1,2,1,1,1,1
0,0,10,10,1,2,2,1,2,7,400,1,5,3,2,5,2,2,1,3,1,1,2,1
14,1,6,3,2,2,2,1,2,12,400,1,5,3,0,8,2,2,1,4,1,1,2,1
2,0,6,18,2,2,2,1,2,9,400,2,4,3,0,8,1,2,1,1,1,1,2,1
0,0,6,10,2,2,2,1,1,3,700,4,5,3,3,9,2,2,1,2,1,1,3,1
1,0,6,7,2,2,2,1,2,11,400,1,5,3,1,9,2,2,1,2,1,1,2,1
0,0,8,3,2,2,2,1,2,1,400,4,5,3,1,7,2,2,1,3,1,1,1,1
5,0,4,18,2,2,1,1,1,15,400,1,5,3,2,4,2,2,1,3,1,1,3,1
0,0,8,14,2,2,2,1,1,2,400,4,5,3,3,6,2,2,1,1,1,1,3,1
0,0,7,18,2,2,2,2,2,13,400,4,5,3,2,5,2,2,1,1,1,1,2,1
0,0,4,7,2,2,2,1,1,9,400,2,5,3,3,5,2,2,1,4,1,1,3,1
0,0,10,18,2,2,2,1,2,4,400,1,5,3,2,8,2,2,1,1,1,1,1,1
0,0,12,14,2,2,2,1,1,2,400,2,5,3,2,5,2,2,1,1,1,1,3,1
1,0,7,16,2,2,2,2,2,5,400,2,4,3,0,5,2,2,1,1,1,5,2,1
2,0,0,19,2,1,1,1,2,14,400,1,5,3,2,5,2,2,1,3,1,1,2,1
50,0,5,14,1,2,2,1,2,1,400,2,5,3,1,6,2,2,1,3,1,1,2,0
0,0,7,14,2,2,2,1,1,14,400,4,5,3,3,8,2,2,1,3,1,1,3,1
2,0,6,14,2,2,2,1,2,13,400,1,5,3,0,5,2,2,1,1,1,1,2,1
0,0,4,10,2,2,2,1,2,10,400,2,5,3,2,6,2,2,1,1,5,2,1,1
50,0,7,3,2,2,2,1,2,12,400,2,5,3,2,5,2,2,1,1,1,1,2,0
0,0,12,19,2,2,2,2,2,5,400,2,5,3,0,5,2,2,1,2,1,1,2,1
0,0,5,12,2,2,2,1,2,16,400,3,5,3,0,5,2,2,1,1,1,1,1,1
49,0,4,3,2,2,2,1,2,16,400,4,5,3,0,5,2,2,1,3,1,1,1,0
0,0,5,14,1,1,1,1,2,3,400,4,5,3,2,6,2,1,1,4,1,1,2,1
0,0,4,14,2,2,2,1,1,11,400,1,5,3,1,5,2,2,1,3,1,1,3,1
1,0,8,14,2,2,2,1,2,7,400,2,5,3,0,7,2,2,1,3,1,1,1,1
0,0,7,10,2,2,1,1,1,5,400,4,5,3,3,5,2,2,1,4,1,1,3,1
0,0,4,3,2,2,1,1,1,16,400,4,5,3,2,5,2,2,1,2,1,1,3,1
0,1,2,10,2,1,1,1,1,1,400,3,5,3,2,4,2,2,1,2,2,1,3,1
30,0,7,10,2,1,1,1,1,12,400,3,5,3,3,4,2,2,1,2,1,1,3,1
23,0,5,7,2,2,1,1,2,7,400,1,5,3,0,1,2,2,1,1,1,1,2,1
5,0,7,14,2,2,1,2,2,9,400,1,5,3,1,5,2,2,1,3,1,1,2,1
50,0,7,7,2,2,1,2,2,3,400,4,5,3,0,1,2,2,1,1,1,1,2,1
2,0,7,6,2,2,2,1,2,14,400,4,5,3,1,6,2,2,1,3,1,3,1,1
0,0,7,1,1,2,2,1,1,11,400,2,5,3,2,6,2,2,1,1,1,1,3,1
0,0,5,18,2,2,1,1,2,16,700,2,5,3,1,5,2,2,1,1,1,1,2,1
0,0,8,1,2,2,2,1,2,1,400,2,5,3,2,7,2,2,1,1,1,1,2,1
0,0,9,7,2,2,1,2,1,12,400,4,5,3,2,3,2,2,1,1,1,1,2,1
1,0,7,14,2,2,2,1,2,10,400,1,5,3,2,5,2,2,1,1,1,1,1,1
1,0,5,14,2,2,1,1,2,3,400,2,5,3,1,5,2,2,1,1,5,2,2,1
0,0,3,14,2,2,2,1,1,15,400,2,5,3,2,5,2,2,1,1,1,1,3,1
51,0,7,10,2,2,2,2,1,12,400,2,5,3,2,5,2,2,1,4,1,1,2,1
51,0,8,14,2,2,1,1,1,9,500,2,5,3,1,6,2,2,1,4,4,1,3,1
51,0,14,19,2,2,2,1,2,5,400,3,5,3,1,7,2,2,1,4,1,1,2,1
51,0,7,18,2,1,2,1,2,12,400,1,5,3,2,7,2,2,1,1,1,1,2,1
0,0,7,10,2,2,2,1,2,16,400,3,5,3,1,7,2,2,1,4,1,1,2,1
0,0,11,14,2,2,2,1,1,10,400,2,5,3,2,7,2,2,1,4,1,1,3,1
0,0,6,14,2,2,2,1,2,9,400,2,5,3,0,6,2,2,1,1,1,1,2,1
0,0,9,1,2,2,2,2,2,1,400,4,5,3,0,6,2,2,1,1,1,1,1,1
0,0,11,14,2,2,2,1,2,3,400,1,5,3,1,7,2,2,1,2,1,1,2,1
0,0,8,18,2,2,2,2,2,7,400,4,5,3,2,5,2,2,1,2,1,1,2,1
27,0,5,14,2,1,2,1,1,16,400,2,5,3,1,7,2,2,1,1,1,1,3,1
50,0,1,19,2,2,2,2,2,5,400,2,5,3,1,5,2,2,1,1,1,1,2,1
1,0,7,14,2,2,2,1,1,4,400,3,5,3,2,6,2,2,1,1,1,1,3,1
0,0,12,3,2,1,2,2,2,3,400,2,5,3,1,5,2,2,1,3,1,1,1,1
1,0,5,7,2,2,1,1,2,5,400,3,5,3,1,1,2,2,1,1,1,1,1,1
1,0,10,7,2,2,2,1,1,9,400,3,5,3,1,7,2,2,1,3,1,1,3,1
0,0,1,3,2,1,2,1,1,2,400,3,5,3,2,5,2,2,1,3,1,1,3,1
0,0,6,14,2,2,1,1,2,6,400,4,5,3,0,5,2,2,1,4,1,1,2,1
0,0,8,18,1,2,2,1,2,7,400,4,5,3,0,7,2,2,1,2,1,1,2,1
1,0,10,3,2,2,2,1,2,11,400,1,5,3,1,9,2,2,1,4,3,2,2,1
1,0,10,7,2,2,2,1,1,9,400,3,5,3,0,6,2,2,1,1,1,1,3,1
2,0,13,7,2,2,1,1,1,11,400,4,5,3,0,6,2,2,1,3,1,1,2,1
1,0,8,18,2,2,2,1,2,10,400,2,5,3,1,5,2,2,1,1,1,1,1,1
1,0,1,7,2,2,1,1,1,16,400,2,5,3,2,1,2,2,1,1,1,1,3,1
2,0,9,14,2,1,2,1,2,1,400,4,5,3,2,7,2,2,1,3,1,1,1,1
49,0,5,7,2,2,1,1,1,12,400,4,5,3,1,1,2,2,1,1,1,1,3,1
44,0,5,7,2,2,1,1,2,11,400,4,5,3,0,1,2,2,1,1,1,1,1,1
47,0,9,14,2,2,2,1,1,4,400,2,5,3,3,5,2,2,1,2,1,1,3,1
9,0,1,7,2,2,1,1,2,10,400,2,5,3,0,1,2,2,1,1,1,1,1,1
49,0,7,14,2,2,2,1,1,4,400,2,5,3,1,6,2,2,1,2,1,1,3,1
